disk_ID,cluster_index,description,business_type
b66b9665-a2b3-41be-a97f-99ff657dc636,407,(FROM snap-pv788h98)_1_TX-K3-S316_默认项目,generic-unknown
2319813f-7af1-4643-96f8-cacd0ed48e6b,604,(独立特殊)文件服务器_文件服务器_系统盘,infra-node
4a2306c1-1606-41b9-a27c-b8bc18f16600,704,******11_系统盘,generic-unknown
613b1918-336b-4da6-b5a7-1d00b73b10dd,756,/var/lib/docker1_数据盘_1,infra-node
c81c52e7-5dbb-4d2b-a319-7eaaa614c97b,756,/var/lib/docker1_系统盘,dev-test-env
13579286-7cb3-430f-bf6d-2fd2970eed9b,704,0113-1_系统盘_0113系统盘,generic-unknown
d93b52ff-0a4f-435c-9b3a-29b5ef93f836,704,05腾讯北京_系统盘,infra-node
0252c492-a40e-4feb-96d2-77fbc2c3ff83,529,10.0.28.37-data02_PLTD-jenkins-slave-arm-10.0.28.37,dev-test-env
85b5f6d3-5bf8-48b7-81f3-65ed847de985,567,10.225-chenxiaogang_数据盘_1_10chenxiaogang,personal-use
2e02ee26-06eb-41f9-acce-ab046d62347c,697,10.225-chenxiaogang_系统盘_10chenxiaogang,personal-use
2cd9cf99-eb62-495c-abc9-fddad0d87a30,742,100100_系统盘,generic-unknown
7cd59891-967b-4cc0-bfd8-587106e47fcc,519,100_系统盘_win-bj,generic-unknown
16d57532-41b5-4de5-bf70-a5ec31a57eac,748,100_系统盘_北京7区 wpengfei  王鹏飞,personal-use
0eb0d651-221d-4a8e-bf2c-af364e3f9acf,656,100_系统盘_张博林,personal-use
628479e6-c687-42e3-bc6b-a0c6ca3a96d5,520,100_系统盘_文军,personal-use
0eb0d651-221d-4a8e-bf2c-af364e3f9acf,538,100_系统盘_李菁,personal-use
573ecd88-6dfd-4159-9cf2-2b8c43e3ccd8,564,100_系统盘_邮通,gov-public-service
ab28b838-9bae-4389-a2f8-029e71d5cca8,704,100live_prod_1_系统盘_100live_prod_java_ybmaterial-api_10.18.7.151,media-video-streaming
d75a7a00-13fd-4cb7-a9a8-240e384cf6b7,400,100live_prod_2_系统盘_100live_prod_java_ybshare-signal_10.18.7.77,media-video-streaming
8ae336c3-b7c3-4cdd-b71a-85c643316cf6,565,100live_prod_3_系统盘_100live_prod_java_100live_10.18.7.244,media-video-streaming
5c34a5e3-607e-4b73-bb59-2a6ddee33bd7,565,100live_prod_4_系统盘_100live_prod_java_stream-live_10.18.7.160,media-video-streaming
da63380f-8733-4ca7-81ad-f9fde16fb2fb,704,100live_prod_5_系统盘_100live_prod_java_tencent-live-callback_10.18.7.170,media-video-streaming
640c3ef1-d12b-41e8-92e7-2988dbbb026d,518,100live_prod_6_系统盘_100live_prod_java_ybshare-file_10.18.7.138,media-video-streaming
3762570b-f142-45ac-8c84-741a623418a5,565,100live_prod_java_1_系统盘_100live_prod_java_yb-saas-comment_10.18.7.163,iot-saas-platform
