description,business_type
(important)_terraform-saas-dev_unamed,dev-test-env
(腾讯云)上海马力_测试环境_中间件,dev-test-env
(腾讯云)上海马力_测试环境_微服务,dev-test-env
(腾讯云)上海马力_测试环境_跳板机,infra-jumpbox
(腾讯云)深圳天合_正式环境_BB,office-system
(腾讯云)深圳天合_正式环境_货单助手,logistics-mobility
(腾讯云)深圳牧集_正式环境_WMS,logistics-mobility
(腾讯云)深圳牧集_正式环境_牧集ERP,office-system
/_my_test_host,dev-test-env
/dev/vda2_centos-2GB-sh,generic-unknown
0-ftp,data-collection-delivery
001生产环境.应用服务器,generic-unknown
002_005_返利猫,ecommerce-retail
002jqr,generic-unknown
002生产环境.数据库服务器,infra-database
003.源代码管理服务器,dev-test-env
003.源代码管理服务器_数据库硬盘_0,dev-test-env
006订单跟踪,logistics-mobility
02_生产-DB服务器_生产DB数据盘,infra-database
02店,ecommerce-retail
05筑筑(视频)_05系统盘,media-video-streaming
0605_系统盘,generic-unknown
069可可,game-service
0725A_系统盘,generic-unknown
0777e,generic-unknown
0_as-cls-0snwnm0p-g,generic-autoscaling
0_tke_cls-0snwnm0p_worker,infra-node
0_tke_cls-bey57o8t_worker,infra-node
0skf01_centos-4GB-sh,generic-unknown
1,generic-unknown
1-2三年s,generic-unknown
1-cvm_disk1,infra-node
1-ke_Untitled,generic-unknown
1.60测试服_系统盘,dev-test-env
1.76测试版本,dev-test-env
1.96魔神-魔天版本_ig,game-service
1._系统盘,generic-unknown
10.10.10.25_MAX中台_大数据_message-es,infra-logging-monitoring
"10.20.122.101迁移account-co,maccount",finance-payment
10.28_eBay_eBay1,ecommerce-retail
10.28到期_Blog,community-social-forum
10.宋作帅,personal-use
100002873007-notebook-c0fj2puzvp,ai-machine-learning
100002873007-notebook-cw54t3feom,ai-machine-learning
100006445028-notebook-ixxd6pzbi0_系统盘,ai-machine-learning
100008845521-notebook-46w2tjpcbs,ai-machine-learning
100008845521-notebook-4dhqaruxxq_系统盘,ai-machine-learning
100008874333-notebook-a7fazp504k_系统盘,ai-machine-learning
100010875047-notebook-ewc3z2lfem_100014073469-notebook-cwamuctld4_系统盘,ai-machine-learning
100010879792-notebook-0wqq39gsvi_系统盘,ai-machine-learning
100010968526-notebook-56suwptb0n,ai-machine-learning
100012044074-notebook-bdc0u08ju1,ai-machine-learning
