params,mean_test_score,rank_test_score
"{'bagging_temperature': np.float64(0.5391612766752545), 'depth': 13, 'iterations': 2443, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.03313512928769908), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 2}",-1.4550317856626738,1
"{'bagging_temperature': np.float64(0.3664687845828599), 'depth': 11, 'iterations': 2158, 'l2_leaf_reg': 3, 'learning_rate': np.float64(0.0717090713664527), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 10}",-1.459814085394998,2
"{'bagging_temperature': np.float64(0.505888678884466), 'depth': 12, 'iterations': 2639, 'l2_leaf_reg': 11, 'learning_rate': np.float64(0.16319762905903212), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 1}",-1.4671393200929077,3
"{'bagging_temperature': np.float64(0.9266588657937942), 'depth': 11, 'iterations': 2275, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.1780383803110714), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 1}",-1.4680590966504794,4
"{'bagging_temperature': np.float64(0.0388347344294232), 'depth': 9, 'iterations': 3491, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.04780288922872256), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 10}",-1.478199172905417,5
"{'bagging_temperature': np.float64(0.9493067970577657), 'depth': 10, 'iterations': 3670, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.16551737561465643), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 1}",-1.479570629450664,6
"{'bagging_temperature': np.float64(0.7036578593800237), 'depth': 13, 'iterations': 3521, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.04130484301336275), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 2}",-1.4837397531563876,7
"{'bagging_temperature': np.float64(0.5941307153521351), 'depth': 12, 'iterations': 3874, 'l2_leaf_reg': 11, 'learning_rate': np.float64(0.055003719843048256), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 1}",-1.485609779440744,8
"{'bagging_temperature': np.float64(0.435583314812933), 'depth': 14, 'iterations': 2367, 'l2_leaf_reg': 6, 'learning_rate': np.float64(0.06989813698367073), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 1}",-1.4859901219275746,9
"{'bagging_temperature': np.float64(0.14224936868719618), 'depth': 12, 'iterations': 2179, 'l2_leaf_reg': 3, 'learning_rate': np.float64(0.017032539422915893), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 10}",-1.491374685899104,10
"{'bagging_temperature': np.float64(0.37785054927578643), 'depth': 8, 'iterations': 3504, 'l2_leaf_reg': 1, 'learning_rate': np.float64(0.17428058291896767), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 2}",-1.491952104005168,11
"{'bagging_temperature': np.float64(0.11423792592039683), 'depth': 11, 'iterations': 3106, 'l2_leaf_reg': 7, 'learning_rate': np.float64(0.10980842948638361), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 5}",-1.4937618685724936,12
"{'bagging_temperature': np.float64(0.8680543225322929), 'depth': 11, 'iterations': 1988, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.1525171462309988), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 10}",-1.4941788203783857,13
"{'bagging_temperature': np.float64(0.2487142725876299), 'depth': 14, 'iterations': 3560, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.016494020602961713), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 1}",-1.4943928242737037,14
"{'bagging_temperature': np.float64(0.22855002179729966), 'depth': 13, 'iterations': 1623, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.047006594771349115), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 1}",-1.4954058786802205,15
"{'bagging_temperature': np.float64(0.766656135200406), 'depth': 13, 'iterations': 2462, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.01581380989817667), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 10}",-1.4991822203181595,16
"{'bagging_temperature': np.float64(0.7677795014428388), 'depth': 9, 'iterations': 2828, 'l2_leaf_reg': 11, 'learning_rate': np.float64(0.16314682096659142), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 5}",-1.4999766798334369,17
"{'bagging_temperature': np.float64(0.22056112492232327), 'depth': 9, 'iterations': 2982, 'l2_leaf_reg': 1, 'learning_rate': np.float64(0.12400916707094213), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 1}",-1.50032681103737,18
"{'bagging_temperature': np.float64(0.9293759891275858), 'depth': 14, 'iterations': 2415, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.023134557603656035), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 2}",-1.5005128669550492,19
"{'bagging_temperature': np.float64(0.6967371653641506), 'depth': 14, 'iterations': 1412, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.09043769334478914), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 1}",-1.500698446364807,20
"{'bagging_temperature': np.float64(0.09169933511143014), 'depth': 10, 'iterations': 1339, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.08968247520456903), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 1}",-1.5007507126125204,21
"{'bagging_temperature': np.float64(0.4420243737828575), 'depth': 13, 'iterations': 2628, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.07428429245091259), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 1}",-1.502961889904556,22
"{'bagging_temperature': np.float64(0.08698675991141014), 'depth': 11, 'iterations': 1974, 'l2_leaf_reg': 6, 'learning_rate': np.float64(0.021774463545602488), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 2}",-1.5042353769839547,23
"{'bagging_temperature': np.float64(0.8627970775432285), 'depth': 10, 'iterations': 3708, 'l2_leaf_reg': 1, 'learning_rate': np.float64(0.01706725013025104), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 5}",-1.5048026951981486,24
"{'bagging_temperature': np.float64(0.6703854583544122), 'depth': 11, 'iterations': 2994, 'l2_leaf_reg': 3, 'learning_rate': np.float64(0.14655842782536851), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 1}",-1.5081992251302776,25
"{'bagging_temperature': np.float64(0.5479718832480873), 'depth': 8, 'iterations': 3504, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.11212854774298901), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 10}",-1.5084925485195568,26
