params,mean_test_score,rank_test_score
"{'alpha': np.float64(0.868085160853578), 'colsample_bytree': np.float64(0.9328536711830968), 'learning_rate': np.float64(0.02286655540196797), 'max_depth': 11, 'min_child_samples': 32, 'n_estimators': 1740, 'num_leaves': 122, 'objective': 'regression', 'reg_alpha': np.float64(0.6318135270166684), 'reg_lambda': np.float64(0.2598035810641598), 'subsample': np.float64(0.8536022812398445), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.5319883037726845)}",-1.4900415612921645,1
"{'alpha': np.float64(0.8533709651822068), 'colsample_bytree': np.float64(0.8404410782497314), 'learning_rate': np.float64(0.09715393362849908), 'max_depth': 12, 'min_child_samples': 101, 'n_estimators': 2928, 'num_leaves': 114, 'objective': 'regression', 'reg_alpha': np.float64(0.011480659749377842), 'reg_lambda': np.float64(0.45011652647481104), 'subsample': np.float64(0.9908416932206293), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.1824970899264606)}",-1.491169607437596,2
"{'alpha': np.float64(0.6144448915302425), 'colsample_bytree': np.float64(0.9277020419485844), 'learning_rate': np.float64(0.06976614162252688), 'max_depth': 14, 'min_child_samples': 40, 'n_estimators': 2253, 'num_leaves': 43, 'objective': 'regression', 'reg_alpha': np.float64(0.7396713007267637), 'reg_lambda': np.float64(0.1912604179145867), 'subsample': np.float64(0.8455109675262796), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.4484043635185275)}",-1.4947413786366723,3
"{'alpha': np.float64(0.6728908241206489), 'colsample_bytree': np.float64(0.8948402823372077), 'learning_rate': np.float64(0.07757885339708448), 'max_depth': 14, 'min_child_samples': 35, 'n_estimators': 1017, 'num_leaves': 111, 'objective': 'tweedie', 'reg_alpha': np.float64(0.10675606593588438), 'reg_lambda': np.float64(0.3356600647969632), 'subsample': np.float64(0.6678719615582261), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.617478689334979)}",-1.4972713691393107,4
"{'alpha': np.float64(0.9460975557038993), 'colsample_bytree': np.float64(0.8177929331201051), 'learning_rate': np.float64(0.08944591413264132), 'max_depth': 10, 'min_child_samples': 36, 'n_estimators': 1644, 'num_leaves': 99, 'objective': 'tweedie', 'reg_alpha': np.float64(0.6197345714330892), 'reg_lambda': np.float64(0.8960751117945733), 'subsample': np.float64(0.9388777756134327), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.3521176313060428)}",-1.498941774568193,5
"{'alpha': np.float64(0.6778176062008165), 'colsample_bytree': np.float64(0.9706635463175177), 'learning_rate': np.float64(0.04417460613160028), 'max_depth': 12, 'min_child_samples': 59, 'n_estimators': 2817, 'num_leaves': 91, 'objective': 'poisson', 'reg_alpha': np.float64(0.5867511656638482), 'reg_lambda': np.float64(0.965255307264138), 'subsample': np.float64(0.8428136990746738), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.3207993456180347)}",-1.4995201837959733,6
"{'alpha': np.float64(0.6883612797307709), 'colsample_bytree': np.float64(0.9161350943440593), 'learning_rate': np.float64(0.028599755029250114), 'max_depth': 11, 'min_child_samples': 77, 'n_estimators': 1961, 'num_leaves': 142, 'objective': 'regression', 'reg_alpha': np.float64(0.32350039491147375), 'reg_lambda': np.float64(0.8343033659547675), 'subsample': np.float64(0.8517195224042944), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.2590850222202368)}",-1.502862542194302,7
"{'alpha': np.float64(0.6797159367776109), 'colsample_bytree': np.float64(0.9640538547128537), 'learning_rate': np.float64(0.056264139737523616), 'max_depth': 13, 'min_child_samples': 42, 'n_estimators': 1481, 'num_leaves': 47, 'objective': 'tweedie', 'reg_alpha': np.float64(0.3873925856686593), 'reg_lambda': np.float64(0.8518412368739476), 'subsample': np.float64(0.7615591456680495), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.1620917157851527)}",-1.5064088267833893,8
"{'alpha': np.float64(0.926998491764), 'colsample_bytree': np.float64(0.9862528132298237), 'learning_rate': np.float64(0.05632733481673016), 'max_depth': 13, 'min_child_samples': 109, 'n_estimators': 2662, 'num_leaves': 139, 'objective': 'tweedie', 'reg_alpha': np.float64(0.24102546602601171), 'reg_lambda': np.float64(0.6832635188254582), 'subsample': np.float64(0.8439986631130484), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.7665559293889315)}",-1.5080509797652628,9
"{'alpha': np.float64(0.561479599148913), 'colsample_bytree': np.float64(0.8835643987640474), 'learning_rate': np.float64(0.026194214315346208), 'max_depth': 14, 'min_child_samples': 45, 'n_estimators': 1940, 'num_leaves': 59, 'objective': 'regression', 'reg_alpha': np.float64(0.6115137108656805), 'reg_lambda': np.float64(0.08159418040024036), 'subsample': np.float64(0.6020739451095947), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.6023155319589089)}",-1.5091956263837436,10
