,params
194,"{'bagging_temperature': np.float64(0.5929399348417032), 'depth': 8, 'iterations': 2290, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.032279262161161906), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 1}"
200,"{'bagging_temperature': np.float64(0.1604001053300721), 'depth': 14, 'iterations': 3604, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.1622091859146914), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 2}"
184,"{'bagging_temperature': np.float64(0.7671882889311269), 'depth': 8, 'iterations': 1747, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.05696164814323482), 'loss_function': 'Huber', 'one_hot_max_size': 2, 'random_strength': 2}"
187,"{'bagging_temperature': np.float64(0.9103391020575343), 'depth': 12, 'iterations': 1398, 'l2_leaf_reg': 1, 'learning_rate': np.float64(0.032323811097029656), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 1}"
176,"{'bagging_temperature': np.float64(0.8491956515653193), 'depth': 12, 'iterations': 3513, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.06939536380845411), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 1}"
174,"{'bagging_temperature': np.float64(0.9173135754622428), 'depth': 4, 'iterations': 1329, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.03804231075514251), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 2}"
172,"{'bagging_temperature': np.float64(0.41279355060675227), 'depth': 14, 'iterations': 2639, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.039633227167667914), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 2}"
180,"{'bagging_temperature': np.float64(0.6501673504432282), 'depth': 11, 'iterations': 3667, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.14171290732898523), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 2}"
214,"{'bagging_temperature': np.float64(0.5432328057899581), 'depth': 12, 'iterations': 2680, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.015845783457352276), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 2}"
21,"{'bagging_temperature': np.float64(0.8180147659224931), 'depth': 12, 'iterations': 2282, 'l2_leaf_reg': 7, 'learning_rate': np.float64(0.01637654202058856), 'loss_function': 'Huber', 'one_hot_max_size': 2, 'random_strength': 2}"
19,"{'bagging_temperature': np.float64(0.6243540481337932), 'depth': 12, 'iterations': 3693, 'l2_leaf_reg': 4, 'learning_rate': np.float64(0.1449592822362264), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 2}"
20,"{'bagging_temperature': np.float64(0.12208795470067335), 'depth': 12, 'iterations': 3237, 'l2_leaf_reg': 1, 'learning_rate': np.float64(0.02259707459386439), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 1}"
