params,mean_test_score,rank_test_score
"{'colsample_bytree': np.float64(0.7802176541240374), 'learning_rate': np.float64(0.007758077642814092), 'max_depth': 15, 'min_child_weight': 13, 'n_estimators': 1969, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.6717006844058567), 'reg_lambda': np.float64(0.6181282404578958), 'subsample': np.float64(0.7432650872131362), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.1908460737597033)}",-1.4769917528501997,1
"{'colsample_bytree': np.float64(0.6386705798586878), 'learning_rate': np.float64(0.023132495523193734), 'max_depth': 18, 'min_child_weight': 21, 'n_estimators': 1156, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.9271778194794527), 'reg_lambda': np.float64(0.23464208185545354), 'subsample': np.float64(0.7597263663237233), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.2219328106643341)}",-1.4774736608162982,2
"{'colsample_bytree': np.float64(0.6320934982646569), 'learning_rate': np.float64(0.02976712740102333), 'max_depth': 10, 'min_child_weight': 45, 'n_estimators': 1419, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.8966102629740208), 'reg_lambda': np.float64(0.57599841780566), 'subsample': np.float64(0.9669582452342127), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.1042400051180845)}",-1.4821835671557078,3
"{'colsample_bytree': np.float64(0.8080762093006217), 'learning_rate': np.float64(0.02291573657130465), 'max_depth': 8, 'min_child_weight': 21, 'n_estimators': 2933, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.6134731386391763), 'reg_lambda': np.float64(0.36310073663401043), 'subsample': np.float64(0.9588745363858475), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.235083365342149)}",-1.4847930990831222,4
"{'colsample_bytree': np.float64(0.7757619958777808), 'learning_rate': np.float64(0.04021203848243602), 'max_depth': 14, 'min_child_weight': 41, 'n_estimators': 1185, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.645810812655206), 'reg_lambda': np.float64(0.28590678923916013), 'subsample': np.float64(0.9263787755874469), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.789095997090749)}",-1.4849026011145594,5
"{'colsample_bytree': np.float64(0.8232560998375451), 'learning_rate': np.float64(0.031367246396086804), 'max_depth': 16, 'min_child_weight': 139, 'n_estimators': 1468, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.2311309124276466), 'reg_lambda': np.float64(0.05169683724152696), 'subsample': np.float64(0.8560011867347654), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.2797609415781441)}",-1.4851758878121537,6
"{'colsample_bytree': np.float64(0.924707915236055), 'learning_rate': np.float64(0.04663033209943622), 'max_depth': 13, 'min_child_weight': 19, 'n_estimators': 1282, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.9280836403260497), 'reg_lambda': np.float64(0.22461561184385193), 'subsample': np.float64(0.7488668095350053), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.4456615063553568)}",-1.4853179135753083,7
"{'colsample_bytree': np.float64(0.8886886210868716), 'learning_rate': np.float64(0.012591513044191155), 'max_depth': 19, 'min_child_weight': 88, 'n_estimators': 1964, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.18903952472753172), 'reg_lambda': np.float64(0.7830166373167329), 'subsample': np.float64(0.8860154875402735), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.5747886103807478)}",-1.4869177173247223,8
"{'colsample_bytree': np.float64(0.902144564127061), 'learning_rate': np.float64(0.02123130958824593), 'max_depth': 12, 'min_child_weight': 13, 'n_estimators': 2000, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.8422847745949985), 'reg_lambda': np.float64(0.44975413336976566), 'subsample': np.float64(0.7580600944007257), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.8413270926350354)}",-1.4869948583425283,9
"{'colsample_bytree': np.float64(0.7716730373585428), 'learning_rate': np.float64(0.012431073183571504), 'max_depth': 16, 'min_child_weight': 59, 'n_estimators': 1992, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.6588250701400705), 'reg_lambda': np.float64(0.25230724983940656), 'subsample': np.float64(0.688090120550926), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.4906997031863511)}",-1.4871446699291944,10
