,disk_ID,vm_name,vm_cpu,vm_memory,vm_type,disk_if_VIP,ins_type,project_name,buss_name,disk_name,disk_capacity,disk_type,volume_type,avg_bandwidth,bandwidth_mul,bandwidth_zero_ratio,burst_label,peak_bandwidth,timestamp_num,cluster_index,business_type,description,recent_history_bandwidth_memory,recent_history_bandwidth_cpu,recent_history_bandwidth_app,recent_history_bandwidth_cpu_memory,pre_burst_label,belong_to_cluster,pre_bandwidth
24007,5b4f3542-fb69-48a0-bf51-afafcc7c23b3,vm-cdwdoris-3l7x2q15,8.0,32.0,S5,0,CVM,cdwdoris,vm-cdwdoris-3l7x2q,vm-cdwdoris-3l7x2q15_数据盘_4,100,1,cbsHSSD,40669.49156746032,4.530496765477661,0.0004960317460317,0,184253.0,2016.0,564,infra-database,vm-cdwdoris-3l7x2q15_数据盘_4,71109.11805555556,71109.11805555556,71109.11805555556,71109.11805555556,0,0.0,13503.298946270883
7536,6c95ac1b-d621-49f2-8d63-53a9d339b333,大数据服务器4,8.0,32.0,SA2,1,CVM,集成交付部,大数据服务器,大数据服务器4_数据盘_1,500,1,cbsPremium,408.436507936508,11.179216135864602,0.0029761904761904,0,4566.0,2016.0,609,infra-node,集成交付部_大数据服务器4_数据盘_1,,,,,0,0.0,13503.298946270883
21429,a330bb5c-c801-4269-9ae1-d20c04fae395,prod-nqc-v2.0.02,8.0,16.0,SA3,0,CVM,默认项目,prod-nqc-v,Ckafka_ins-hnf05uxv_956686593_1,380,1,cbsssd,676780.4672619047,1.7481119169802537,0.0004960317460317,0,1183088.0,2016.0,415,infra-message-queue,prod-nqc-v2.0.02_默认项目_Ckafka_ins-hnf05uxv_956686593_1,1205957.200396825,1205957.200396825,784292.6091269841,1205957.200396825,0,0.0,13503.298946270883
14315,601805f0-a9dc-4cae-8ecd-c76bb3b60cf8,dzyz-game-11-1021,4.0,8.0,S6,1,CVM,臧泽,dzyz-game,dzyz-game-11-1021_数据盘_1,100,1,cbsPremium,521.327380952381,43.17632417249923,0.0014880952380952,1,22509.0,2016.0,569,game-service,臧泽_dzyz-game-11-1021_数据盘_1,6424.081845238095,6424.081845238095,6424.081845238095,6424.081845238095,1,0.0,211056.5982142857
24186,ab85ae40-d28b-4dce-bae8-ed4c43911cb0,p-qcbj7-pe-data-core-10,16.0,64.0,S6,1,CVM,默认项目,p-qcbj7-pe-data-core,p-qcbj7-pe-data-core-10_系统盘,50,0,cbsPremium,35281.75843253968,27.67469772990323,0.0009920634920634,1,976412.0,2016.0,609,infra-database,p-qcbj7-pe-data-core-10_系统盘_默认项目,926958.0357142856,926958.0357142856,926958.0357142856,926958.0357142856,0,0.0,13503.298946270883
3993,6f9c5168-f70b-4d7d-a1d8-e40f75537569,k8s-worker-sw7-4.p6xmmv3r.3,16.0,64.0,SA3,1,CVM,cls-75lpbkc3,k8s-worker-sw7p6xmmv3r.,cls-75lpbkc3/pvc-c9bd891c-fc12-4436-98ea-6e9729ceaeb3,30,1,cbsPremium,570.4558531746031,1.8143384702605736,0.0019841269841269,0,1035.0,2016.0,547,infra-node,k8s-worker-sw7-4.p6xmmv3r.3_cls-75lpbkc3/pvc-c9bd891c-fc12-4436-98ea-6e9729ceaeb3_k8s-worker-sw7p6xmmv3r.,,,,,0,0.0,13503.298946270883
5038,79c78419-4f77-47f8-be1f-aae183ba74a5,易卡cmp--windows中转,4.0,8.0,S6,1,CVM,默认项目,易卡cmp--windows中转,易卡cmp--windows中转_系统盘,100,0,cbsBSSD,1624.1349206349207,19.4842187049516,0.0004960317460317,0,31645.0,2016.0,704,infra-jumpbox,默认项目_易卡cmp--windows中转_系统盘,6089.446428571428,12749.785218253968,12749.785218253968,6089.446428571428,0,0.0,13503.298946270883
9051,dd6e113e-ce91-4c61-bac2-815c6322dc09,as-tke-np-3fvrl6d5,192.0,512.0,BMSA2,1,CVM,asg-coft2pgz,as-tke-np-3fvrl6d,as-tke-np-3fvrl6d5_数据盘_2,5190,1,cbsPremium,11660.184523809525,8.918469496572332,0.0,0,103991.0,2016.0,709,infra-node,as-tke-np-3fvrl6d5_数据盘_2_asg-coft2pgz,64344.54365079365,64344.54365079365,64344.54365079365,64344.54365079365,0,0.0,13503.298946270883
19885,c4961733-9bd4-4349-96d6-3f8104fe813c,m-tc7-cvm-gz01-202201201649386741,4.0,16.0,SA2,1,CVM,g1_bj,m-tc7-cvm-gz,m-tc7-cvm-gz01-202201201649386741_系统盘,50,0,cbsPremium,9257.755456349209,36.72369632175083,0.0014880952380952,1,339979.0,2016.0,562,infra-node,m-tc7-cvm-gz01-202201201649386741_系统盘_g1_bj,,,5560.295138888889,,0,0.0,13503.298946270883
9038,1a8182fd-c147-45ba-91bf-19ac43ee3260,video-record420.hb.txyun,8.0,32.0,S5,1,CVM,video,video-record,video-record400.hb.txyun21_数据盘_1,200,1,cbsHSSD,6287.920138888889,8.807681837032096,0.0009920634920634,0,55382.0,2016.0,568,media-video-streaming,video-record420.hb.txyun_video-record400.hb.txyun21_数据盘_1,,,2224155.899801587,,0,0.0,13503.298946270883
9401,00024be8-ca6b-49f6-8ebe-95760a47710b,tx-bj-hulk-k8s-node3330,84.0,320.0,S5,1,CVM,默认项目,tx-bj-hulk-k8s-node,tx-bj-hulk-k8s-node3330_系统盘,100,0,cbsPremium,257.21031746031747,636.8407053705047,0.0,1,163802.0,2016.0,605,infra-node,tx-bj-hulk-k8s-node3330_系统盘_默认项目,3834.559027777778,3834.559027777778,3834.559027777778,3834.559027777778,1,0.0,211056.5982142857
4550,18977690-a672-46f8-882b-93ce4d18320c,as-tke-np-qbcovslz1,4.0,16.0,S5,0,CVM,asg-mn3ukmer,as-tke-np-qbcovslz,as-tke-np-qbcovslz_DATA_DISK_1,100,1,cbsPremium,3577.43998015873,8.093217541196976,0.0,0,28953.0,2016.0,609,infra-node,as-tke-np-qbcovslz_DATA_DISK_1_as-tke-np-qbcovslz1_asg-mn3ukmer,18992.334325396827,18992.334325396827,18992.334325396827,18992.334325396827,0,0.0,13503.298946270883
17525,a239b808-a4dc-4a4a-813c-2bffd5765b25,video-record500.hb.txyun,8.0,32.0,S5,1,CVM,video,video-record,video-record477.hb.txyun24_数据盘_1,500,1,cbsHSSD,5072.600694444444,5.74103931182572,0.0014880952380952,0,29122.0,2016.0,517,media-video-streaming,video-record500.hb.txyun_video-record477.hb.txyun24_数据盘_1,5964.943948412699,5964.943948412699,5964.943948412699,5964.943948412699,0,0.0,13503.298946270883
22038,011cbea6-956a-41f2-9826-aed90d38d51e,vm-bj-datacollector-az7-datacollector-109.14923,16.0,32.0,S5,1,CVM,默认项目,vm-bj-datacollector-az7-datacollector,vm-bj-datacollector-az7-datacollector-109.14923_系统盘,50,0,cbsPremium,8817.70882936508,24.758585730678945,0.0009920634920634,0,218314.0,2016.0,407,data-collection-delivery,vm-bj-datacollector-az7-datacollector-109.14923_系统盘_默认项目,8108.849206349207,8108.849206349207,8108.849206349207,8108.849206349207,0,0.0,13503.298946270883
1122,9f0075aa-360e-4dfd-a2f1-412428f7ecef,pek-ctke-10-8-81-10,8.0,64.0,M6,1,CVM,cls-24k212t1,pek-ctke,cls-24k212t1/pvc-d795a831-b0cc-4cfe-8f57-44913d182c8e,10,1,cbsPremium,303.38343253968253,1.27561349266948,0.0004960317460317,0,387.0,2016.0,604,infra-node,pek-ctke-10-8-81-10_cls-24k212t1/pvc-d795a831-b0cc-4cfe-8f57-44913d182c8e,13145.11607142857,13145.11607142857,13145.11607142857,13145.11607142857,0,0.0,13503.298946270883
943,8a378183-e05e-49dc-be12-d9cd151f1a88,lh-1258821132-lhins-an7gskoe,2.0,4.0,S5,0,CVM,默认项目,lh-cbs,lh-1258821132-20221213257024305493501,1000,1,cbsssd,617.4246031746031,3.4919243400967925,0.0,0,2156.0,2016.0,704,generic-unknown,默认项目_lh-1258821132-20221213257024305493501_lh-cbs_lh-1258821132-lhins-an7gskoe,128.68303571428572,128.68303571428572,128.68303571428572,128.68303571428572,0,0.0,13503.298946270883
2929,38b9c92c-014c-4465-b8ad-244ab3d7b3b8,tencent-xuanxing2-svcmaker-apisix-prod01,2.0,4.0,S5,1,CVM,默认项目,tencent-xuanxing2-svcmaker-apisix-prod,tencent-xuanxing2-svcmaker-apisix-prod_数据盘_1,100,1,cbsPremium,574.7440476190476,3.5528858601654982,0.0014880952380952,0,2042.0,2016.0,547,iot-saas-platform,默认项目_tencent-xuanxing2-svcmaker-apisix-prod_数据盘_1_tencent-xuanxing2-svcmaker-apisix-prod01,,,,,0,0.0,13503.298946270883
