,disk_ID,vm_name,vm_cpu,vm_memory,vm_type,disk_if_VIP,ins_type,project_name,buss_name,disk_name,disk_capacity,disk_type,volume_type,avg_bandwidth,bandwidth_mul,bandwidth_zero_ratio,burst_label,peak_bandwidth,timestamp_num,cluster_index,business_type,description,recent_history_bandwidth_memory,recent_history_bandwidth_cpu,recent_history_bandwidth_app,recent_history_bandwidth_cpu_memory,cluster_label
20956,47e9eb3e-e4e2-4496-add2-5932b64327c0,s-tke-node.d0xs4foz.0,64.0,256.0,SA3,1,CVM,asg-4557t4rb,s-tke-node.d0xs4foz.,s-tke-node.d0xs4foz.0_数据盘_1,300,1,cbsBSSD,3054.0689484126983,47.98942082698352,0.0,1,146563.0,2016.0,704,infra-node,asg-4557t4rb_s-tke-node.d0xs4foz.0_数据盘_1,366189.8546626984,366189.8546626984,6844.4474206349205,366189.8546626984,0
21906,88aef21c-29d1-4ae5-8e08-6b4723a76d85,vm-cdwch-yiiren7a,8.0,32.0,SA2,0,CVM,cdwch,vm-cdwch-yiiren7a,vm-cdwch-yiiren7a_数据盘_10,50,1,cbsHSSD,4624.949404761905,302.4156326034455,0.0009920634920634,1,1398657.0,2016.0,456,infra-database,vm-cdwch-yiiren7a_数据盘_10,4628.625,4628.625,4628.625,4628.625,2
10750,21d8eed0-851f-42d4-9642-aa7c3a482fd5,gmrd-ctc-mysql01.rongdan.prod,4.0,8.0,SA2,1,CVM,vpc_prod,gmrd-ctc-mysql01.rongdan.prod,gmrd-ctc-mysql01.rongdan.prod_系统盘,50,0,cbsPremium,6858.2286706349205,61.14887970936894,0.0019841269841269,1,419373.0,2016.0,414,infra-database,vpc_prod_gmrd-ctc-mysql01.rongdan.prod_系统盘,19742.03621031746,19742.03621031746,7402.105654761905,19742.03621031746,0
15826,24ed6771-ca2d-4943-9533-c8084fcd390b,check-bj-prod-video-02,8.0,16.0,S6,1,CVM,默认项目,check-bj-prod-video,check-bj-video-prod-02_数据盘_1(FROM snap-9f49qgok),50,1,cbsHSSD,193.93402777777777,908.0716881814764,0.0009920634920634,1,176106.0,2016.0,565,media-video-streaming,check-bj-prod-video-02_check-bj-video-prod-02_数据盘_1(FROM snap-9f49qgok)_默认项目,,,,,0
21300,ac044f3f-f2aa-456d-b1b5-457e861e4733,TX-K3-S653,4.0,16.0,SA2,1,CVM,默认项目,TX-K3-S,TX-K3-S653_数据盘_1(FROM snap-alaiyc0q),50,1,cbsPremium,4315.320436507936,248.96088617451247,0.0,1,1074346.0,2016.0,610,generic-unknown,TX-K3-S653_数据盘_1(FROM snap-alaiyc0q)_默认项目,1309.4632936507935,1309.4632936507935,1309.4632936507935,1309.4632936507935,2
14213,d1f8eb0b-60c0-479c-bf82-edf65fda5605,gmam-pmc-omc-t01.fandanbao.prod,2.0,2.0,SA2,1,CVM,vpc_prod,gmam-pmc-omc-t01.fandanbao.prod,gmam-pmc-omc-t01.fandanbao.prod_系统盘,50,0,cbsPremium,7135.211805555556,102.76877827635928,0.0009920634920634,1,733277.0,2016.0,532,office-system,vpc_prod_gmam-pmc-omc-t01.fandanbao.prod_系统盘,494.66021825396825,494.66021825396825,494.66021825396825,494.66021825396825,2
13947,76db6aaa-3474-4616-9b78-0b4b20cc1a97,dzyz-game-11-1089,4.0,8.0,S6,1,CVM,臧泽,dzyz-game,dzyz-game-11-1089_数据盘_1,100,1,cbsPremium,401.2366071428572,48.851474793328656,0.0,1,19601.0,2016.0,602,game-service,臧泽_dzyz-game-11-1089_数据盘_1,423.44146825396825,423.44146825396825,423.44146825396825,423.44146825396825,0
9324,27539b61-4134-4686-a213-020c02f52ec0,TX-K3-M013-Job,8.0,32.0,SA2,1,CVM,默认项目,TX-K3-M013-Job,TX-K3-M013_数据盘((FROM snap-qqjui4wg))_1,50,1,cbsPremium,846.8422619047619,93.67860293316558,0.0019841269841269,1,79331.0,2016.0,405,generic-unknown,TX-K3-M013-Job_TX-K3-M013_数据盘((FROM snap-qqjui4wg))_1_默认项目,,,,,0
21110,19ed465a-640a-4f17-a078-9fab341d43b5,emr-Core.55_emr-gmz8tdmv,32.0,128.0,IT5,1,CVM,大数据,emr-Core-emr-gmz8tdmv,emr-core2_系统盘,50,0,cbsPremium,9644.244543650791,49.60865496872698,0.0014880952380952,1,478438.0,2016.0,547,compute-simulation,emr-core2_系统盘_emr-Core.55_emr-gmz8tdmv_emr-Core-emr-gmz8tdmv_大数据,22456.726686507936,22456.726686507936,22456.726686507936,22456.726686507936,0
24145,a885ec9c-c6c9-4894-b1d5-435ac0316ec5,tld010082101106_新C云平台_周全,16.0,64.0,D3,1,CVM,1286-新C云平台,tld010082101106_新C云平台_周全,tld${ipAddressO}_新C云平台_周全_系统盘,500,0,cbsPremium,178272.65823412698,41.20028877537632,0.0,1,7344885.0,2016.0,677,infra-node,tld010082101106_新C云平台_周全_tld${ipAddressO}_新C云平台_周全_系统盘_1286-新C云平台,13785.351686507936,13785.351686507936,13785.351686507936,13785.351686507936,3
