,disk_capacity,vm_cpu,vm_memory,recent_history_bandwidth_memory,disk_if_VIP,ins_type,disk_type,volume_type,business_type
24007,100,8.0,32.0,71109.11805555556,0,CVM,data,cbsHSSD,infra-database
7536,500,8.0,32.0,,1,CVM,data,cbsPremium,infra-node
21429,380,8.0,16.0,1205957.200396825,0,CVM,data,cbsssd,infra-message-queue
14315,100,4.0,8.0,6424.081845238095,1,CVM,data,cbsPremium,game-service
24186,50,16.0,64.0,926958.0357142856,1,CVM,root,cbsPremium,infra-database
3993,30,16.0,64.0,,1,CVM,data,cbsPremium,infra-node
5038,100,4.0,8.0,6089.446428571428,1,CVM,root,cbsBSSD,infra-jumpbox
9051,5190,192.0,512.0,64344.54365079365,1,CVM,data,cbsPremium,infra-node
19885,50,4.0,16.0,,1,CVM,root,cbsPremium,infra-node
9038,200,8.0,32.0,,1,CVM,data,cbsHSSD,media-video-streaming
9401,100,84.0,320.0,3834.559027777778,1,CVM,root,cbsPremium,infra-node
4550,100,4.0,16.0,18992.334325396827,0,CVM,data,cbsPremium,infra-node
17525,500,8.0,32.0,5964.943948412699,1,CVM,data,cbsHSSD,media-video-streaming
22038,50,16.0,32.0,8108.849206349207,1,CVM,root,cbsPremium,data-collection-delivery
1122,10,8.0,64.0,13145.11607142857,1,CVM,data,cbsPremium,infra-node
943,1000,2.0,4.0,128.68303571428572,0,CVM,data,cbsssd,generic-unknown
2929,100,2.0,4.0,,1,CVM,data,cbsPremium,iot-saas-platform
520,90,2.0,8.0,62224.46329365079,0,CVM,data,cbsPremium,infra-message-queue
11933,50,2.0,4.0,3865.895337301588,1,CVM,root,cbsPremium,infra-node
23138,150,8.0,32.0,81391.9871031746,1,CVM,root,cbsPremium,game-service
18122,200,4.0,8.0,,1,CVM,data,cbsHSSD,community-social-forum
16495,200,16.0,32.0,29270.161706349205,1,CVM,data,cbsPremium,infra-node
3592,200,4.0,16.0,6768.801587301588,1,CVM,data,cbsBSSD,infra-node
23469,300,16.0,128.0,309.40625,1,CVM,root,cbsPremium,infra-node
12140,50,4.0,32.0,6477.472222222223,1,CVM,root,cbsBSSD,game-service
4745,50,2.0,8.0,,1,CVM,root,cbsssd,ai-machine-learning
23148,100,2.0,4.0,21999.418154761905,1,CVM,root,cbsPremium,generic-unknown
16145,50,2.0,4.0,,1,CVM,root,cbsPremium,compute-simulation
16196,50,16.0,32.0,10435.564484126984,1,CVM,root,cbsPremium,generic-autoscaling
10249,500,8.0,32.0,,1,CVM,data,cbsPremium,infra-database
1580,1000,2.0,4.0,,1,CVM,data,cbsPremium,infra-logging-monitoring
20123,50,8.0,32.0,118.52232142857144,1,CVM,root,cbsssd,infra-database
10533,50,16.0,64.0,6012.521825396825,1,CVM,root,cbsPremium,infra-node
23888,560,16.0,32.0,70105.00347222222,0,CVM,data,cbsPremium,infra-message-queue
8688,300,2.0,4.0,,1,CVM,root,cbsPremium,infra-coordination
21264,100,2.0,4.0,23464.516865079364,1,CVM,root,cbsPremium,generic-unknown
13967,100,4.0,8.0,465.5803571428572,1,CVM,data,cbsPremium,game-service
7428,50,16.0,64.0,,1,CVM,data,cbsssd,infra-logging-monitoring
9033,100,32.0,128.0,,1,CVM,root,cbsPremium,generic-autoscaling
199,10,16.0,128.0,7358.064980158731,1,CVM,data,cbsPremium,infra-node
2222,200,16.0,32.0,707.1577380952381,1,CVM,data,cbsPremium,infra-database
3068,1000,80.0,320.0,44389.82837301587,1,CVM,data,cbsPremium,infra-node
20088,500,4.0,4.0,11611.370535714286,0,CVM,data,cbsPremium,generic-unknown
1822,100,48.0,96.0,1233064.009424603,1,CVM,data,cbsPremium,infra-node
10076,80,4.0,8.0,,1,CVM,root,cbsPremium,media-video-streaming
19209,300,32.0,64.0,,1,CVM,data,cbsPremium,compute-simulation
