disk_ID,vm_cpu,vm_memory,history_bandwidth_cpu_memory,avg_bandwidth,appid,create_time,finish_time,description,business_type
572bc4d0-95cc-4ae2-a1a6-f655c14ddfaf,8.0,32.0,,6980.926091269841,1251911170.0,2022-12-09 11:11:50,2023-05-22 02:38:20,video-record400.hb.txyun58_数据盘_1_video-record457.hb.txyun,media-video-streaming
c0441b32-d5c6-457f-888b-8d88af2fbce9,8.0,32.0,6980.926091269841,5737.230158730159,1251911170.0,2022-12-09 11:11:50,2023-05-22 02:38:20,video-record400.hb.txyun6_数据盘_1_video-record405.hb.txyun,media-video-streaming
cd46d549-cdc8-4a86-9288-488c99871c1e,8.0,32.0,5737.230158730159,5663.034226190476,1251911170.0,2022-12-09 11:11:50,2023-05-22 02:38:20,video-record466.hb.txyun_video-record400.hb.txyun67_数据盘_1,media-video-streaming
1e5624e1-0f2b-47f0-ae59-5ce6432ea7cd,8.0,32.0,5663.034226190476,6036.678075396825,1251911170.0,2022-12-09 11:11:50,2023-05-22 02:38:20,video-record400.hb.txyun53_数据盘_1_video-record452.hb.txyun,media-video-streaming
f46f60c7-d459-4355-a18b-eb374735a696,16.0,64.0,76.57242063492063,6801.688492063492,1253431691.0,2022-04-14 22:43:22,2023-02-28 02:06:25,p-qcbj7-srd-qc-logstash-531fd280-02_系统盘_默认项目,infra-logging-monitoring
00b2f447-6b03-4256-8fb0-ef65679a44d2,4.0,8.0,13853.18601190476,9362.632936507936,1253431691.0,2022-07-21 23:35:59,2023-05-22 02:38:20,t-qcbj7-pe-zookeeper-1_默认项目_t-qcbj7-pe-zookeeper-{R:1}_数据盘_1,infra-coordination
54752947-2568-4f4e-807e-dfe1287cd924,8.0,16.0,,12862.934027777776,1253431691.0,2022-07-21 23:37:47,2023-05-22 02:38:20,t-qcbj7-pe-log-es-data-3_系统盘_默认项目,infra-logging-monitoring
18b6c381-e22f-4bf4-9024-346916331bd9,32.0,128.0,,9042.572916666666,1253431691.0,2022-11-15 21:54:28,2023-05-22 02:38:20,默认项目_s-qcbj7-mysql-7481a7a1-01_系统盘,infra-database
9100d265-0ab6-4278-8ba8-73094766bf7b,8.0,64.0,,6270.863591269841,1253431691.0,2022-12-06 13:58:25,2023-05-22 02:38:20,默认项目_p-qcbj7-mysql-09cc7b01-01_系统盘,infra-database
e029d871-9100-406e-99ff-ede942b4eadd,16.0,32.0,3231.839285714286,7908.359623015873,1253431691.0,2023-02-23 19:17:10,2023-05-22 02:38:20,p-qcbj7-pe-oss-nmp-1_系统盘_默认项目,data-collection-delivery
6b91da64-b3d2-4d90-a4a4-521b67f97ef6,16.0,64.0,1821577.392857143,8029.255952380952,1253431691.0,2023-02-27 21:07:11,2023-05-22 02:38:20,emr-Master_emr-r32yh7yc_默认项目_emr-master-second_数据盘_1,compute-simulation
955d731c-ba22-4369-ab2b-49df7c7df959,16.0,64.0,,11595.077876984127,1253941541.0,2021-12-21 15:51:34,2023-02-19 02:06:19,默认项目_cvm-app-gate-e-01_系统盘,generic-unknown
