iter	RMSE	MAE
0	1110241.333	220878.1767
1	1109832.262	220411.8968
2	1109313.845	220021.6079
3	1108890.866	219685.8472
4	1108397.888	219344.7467
5	1107668.355	218734.7232
6	1106896.754	218169.1407
7	1106523.232	217836.3506
8	1105865.536	217332.7837
9	1105453.284	217095.0832
10	1104908.26	216787.5766
11	1104684.454	216539.8619
12	1104320.899	216345.9293
13	1104144.866	216242.4944
14	1103937.2	215993.5485
15	1103515.547	215781.4544
16	1102940.89	215415.1454
17	1102313.084	215014.3162
18	1101994.513	214866.8513
19	1101876.998	214806.9049
20	1101735.707	214719.8181
21	1101270.978	214479.8373
22	1100794.362	214198.0225
23	1100238.295	213842.5691
24	1099661.374	213465.4265
25	1099572.045	213412.7895
26	1099172.321	213219.9197
27	1098886.414	213072.6077
28	1098722.228	212978.3786
29	1098130.246	212605.809
30	1097089.918	212009.6366
31	1096860.146	211739.4899
32	1096362.147	211433.604
33	1096018.22	211244.8064
34	1095557.304	210956.8619
35	1095103.987	210682.6637
36	1094670.384	210421.8328
37	1094249.741	210168.8579
38	1093953.087	210002.1925
39	1093581.899	209789.3684
40	1093209.087	209581.3909
41	1092773.757	209308.989
42	1092402.136	209061.6832
43	1092353.964	208976.3519
44	1091372.82	208540.446
45	1091099.921	208350.7636
46	1090941.282	208171.4018
47	1090654.228	208031.6273
48	1090653.426	208020.8321
49	1090100.337	207772.6194
50	1089525.182	207457.2251
51	1089428.297	207295.0973
52	1088727.778	206903.2662
