iter	Passed	Remaining
0	35	154868
1	53	114467
2	76	110152
3	100	108448
4	122	105398
5	146	105303
6	151	93315
7	172	93029
8	196	93912
9	222	95534
10	230	90201
11	252	90428
12	274	90853
13	295	90637
14	318	91060
15	326	87585
16	349	88273
17	371	88642
18	391	88471
19	412	88582
20	431	88184
21	452	88126
22	456	85024
23	469	83881
24	491	84182
25	512	84486
26	535	84927
27	543	83116
28	562	83028
29	582	83131
30	602	83134
31	622	83183
32	640	83042
33	661	83173
34	667	81470
35	690	82005
36	712	82258
37	718	80822
38	722	79108
39	727	77693
40	748	77960
41	771	78374
42	785	77912
43	807	78339
44	836	79237
45	841	77959
46	847	76854
47	860	76378
48	882	76736
49	924	78777
50	944	78849
51	950	77805
52	968	77784
53	989	77958
54	998	77235
55	1018	77340
56	1039	77568
57	1043	76475
58	1061	76517
59	1066	75540
60	1071	74634
61	1091	74806
62	1110	74869
63	1122	74497
64	1131	73894
65	1137	73127
66	1159	73447
67	1179	73570
68	1184	72787
69	1204	72977
70	1208	72163
71	1229	72379
72	1248	72461
73	1254	71789
74	1287	72675
75	1291	71962
76	1314	72274
77	1334	72392
78	1353	72509
79	1372	72591
80	1393	72738
81	1419	73188
82	1424	72528
83	1428	71863
84	1435	71376
85	1439	70692
86	1460	70874
87	1479	70978
88	1498	71084
89	1519	71229
90	1540	71431
91	1560	71565
92	1582	71746
93	1603	71934
94	1634	72539
95	1655	72684
96	1662	72218
97	1684	72389
98	1708	72665
99	1740	73265
100	1765	73577
101	1770	73031
102	1803	73653
103	1830	74030
104	1849	74048
105	1887	74850
106	1900	74667
107	1923	74845
108	1946	75031
109	1971	75261
110	1979	74867
111	1985	74432
112	2008	74599
113	2014	74166
114	2036	74303
115	2058	74411
116	2084	74716
117	2089	74221
118	2109	74297
119	2137	74618
120	2142	74163
121	2148	73746
122	2163	73660
123	2169	73248
124	2202	73740
125	2207	73295
126	2214	72953
127	2243	73284
128	2259	73243
129	2277	73234
130	2304	73523
131	2316	73324
132	2347	73724
133	2368	73809
134	2394	74052
135	2398	73621
136	2422	73785
137	2446	73975
138	2470	74141
139	2474	73714
140	2500	73945
141	2519	73950
142	2557	74528
143	2592	75009
144	2598	74652
145	2639	75266
146	2662	75410
147	2701	75958
148	2723	76056
149	2746	76158
150	2783	76669
151	2787	76259
152	2828	76857
153	2836	76554
154	2845	76271
155	2869	76411
156	2888	76418
157	2892	76019
158	2899	75708
159	2909	75465
160	2934	75625
161	2942	75340
162	2946	74975
163	2973	75173
164	2987	75047
165	2994	74746
166	3018	74873
167	3039	74946
168	3061	75023
169	3074	74877
170	3097	74966
171	3119	75055
172	3131	74882
173	3155	75001
174	3180	75145
175	3190	74951
176	3195	74610
177	3219	74743
178	3241	74809
179	3245	74475
180	3260	74368
181	3281	74420
182	3300	74430
183	3324	74554
184	3344	74577
185	3366	74647
186	3387	74686
187	3392	74374
188	3427	74733
189	3448	74774
190	3471	74864
191	3493	74926
192	3503	74732
193	3521	74709
194	3542	74764
195	3547	74462
196	3555	74224
197	3578	74307
198	3601	74410
199	3624	74484
200	3647	74560
201	3666	74565
202	3683	74525
203	3715	74785
204	3744	74975
205	3748	74672
206	3758	74488
